year,0,1,2,3,4,5,6,7,8,9,10
1958,151,0,16,5,2,0,0,0,0,0,0
1959,232,0,19,7,5,4,0,0,0,0,1
1960,218,0,27,13,7,3,1,0,0,0,0
1961,277,0,27,18,10,2,4,0,0,0,1
1962,265,0,26,11,6,3,2,0,0,1,1
1963,271,0,19,8,19,8,2,3,1,2,1
1964,313,0,31,17,22,9,3,5,6,1,3
1965,343,0,23,19,18,5,9,4,3,0,2
1966,357,0,28,23,16,8,6,4,1,0,4
1967,368,0,33,26,18,5,3,2,1,0,5
1968,316,0,43,22,16,8,9,2,2,3,3
1969,317,0,35,18,14,7,5,2,2,2,5
1970,281,0,36,13,23,3,4,6,1,0,4
1971,287,0,32,22,13,3,6,0,4,1,2
1972,279,0,22,22,10,12,5,3,5,1,3
1973,252,0,34,17,13,2,4,5,7,4,4
1974,256,0,34,15,17,4,4,4,3,1,5
1975,223,0,30,16,21,6,4,3,6,0,7
1976,250,0,25,11,17,5,0,3,2,1,6
1977,215,0,19,16,17,5,3,4,2,1,2
1978,208,0,26,16,11,1,6,3,4,0,3
1979,226,0,15,14,11,5,5,2,3,2,3
1980,216,0,27,11,9,5,6,4,1,2,0
1981,182,0,31,11,16,2,4,2,1,0,1
1982,234,0,26,4,12,1,4,3,2,0,0
1983,257,0,27,18,12,2,3,3,1,1,0
1984,255,0,39,12,22,3,1,3,1,0,1
1985,211,0,30,19,20,2,2,1,3,0,1
1986,213,0,29,19,14,1,3,0,1,1,1
1987,227,0,24,10,16,2,3,2,3,0,0
1988,227,0,21,15,8,3,0,1,2,0,1
1989,228,0,28,9,8,4,2,0,0,1,0
1990,210,0,32,7,13,2,2,1,1,1,0
1991,190,0,27,8,13,3,2,2,0,1,0
1992,206,0,19,17,13,4,6,0,0,0,0
1993,212,0,19,8,9,5,1,1,2,0,0
1994,211,0,19,12,8,3,3,0,0,0,0
1995,206,0,10,12,15,5,2,1,0,0,0
1996,160,0,14,10,10,4,2,2,3,1,1
1997,170,0,16,10,10,1,7,1,1,0,1
1998,213,0,22,10,7,3,2,0,0,0,0
1999,213,0,16,12,9,7,5,0,0,1,0
2000,233,0,20,10,9,0,1,0,1,0,0
2001,218,0,11,7,5,6,5,1,1,0,0
2002,218,0,29,20,5,3,4,0,2,0,1
2003,244,0,18,12,5,5,3,0,1,0,0
2004,229,0,20,14,12,6,2,1,1,0,0
2005,261,0,29,12,10,5,2,0,1,1,0
2006,299,0,16,8,8,6,2,0,0,0,0
2007,274,0,26,12,12,3,2,1,0,0,0
2008,314,0,24,23,8,3,1,1,0,0,0
2009,333,0,30,31,6,8,1,0,0,0,1
2010,376,0,32,16,11,4,1,2,0,0,0
2011,397,0,21,12,11,1,1,0,1,0,0
2012,301,0,21,15,7,4,0,1,0,1,0
2013,303,0,20,16,11,7,2,1,0,0,0
2014,275,0,24,19,14,8,2,1,1,0,1
2015,309,0,20,23,15,10,2,1,2,0,0
2016,328,0,23,20,13,7,3,2,0,0,0
2017,377,0,28,15,11,7,3,0,1,0,0
2018,518,0,27,16,11,3,2,0,0,0,0
2019,211,0,5,6,9,3,1,1,0,0,0
